,timestamp,temperature,relative_humidity,pressure,rainfall,wind_direction,wind_speed
0,2026-03-22T00:00:00,25.03,80,998.56,0.1,101,1.4
1,2026-03-22T01:00:00,24.52,84,997.89,0.14,93,1.1
2,2026-03-22T02:00:00,24.08,86,997.2,0.08,95,1.4
3,2026-03-22T03:00:00,23.91,88,996.99,0.02,103,1.0
4,2026-03-22T04:00:00,23.69,89,996.62,0.02,99,1.3
5,2026-03-22T05:00:00,24.06,85,997.24,0.02,108,1.6
6,2026-03-22T06:00:00,24.07,85,997.75,0.0,100,1.7
7,2026-03-22T07:00:00,26.07,76,998.66,0.01,108,1.8
8,2026-03-22T08:00:00,28.79,64,999.52,0.0,140,1.2
9,2026-03-22T09:00:00,30.95,51,999.98,0.0,189,0.6
10,2026-03-22T10:00:00,32.89,42,999.75,0.0,256,0.9
11,2026-03-22T11:00:00,33.23,42,999.7,0.0,280,1.1
12,2026-03-22T12:00:00,35.59,34,998.08,0.0,289,1.1
13,2026-03-22T13:00:00,35.33,37,999.65,0.0,265,3.4
14,2026-03-22T14:00:00,31.9,56,999.22,0.0,263,3.4
15,2026-03-22T15:00:00,32.08,53,999.14,0.2,281,2.7
16,2026-03-22T16:00:00,31.68,52,998.9,0.0,270,2.4
17,2026-03-22T17:00:00,30.35,59,999.33,0.0,289,3.2
18,2026-03-22T18:00:00,28.92,66,999.89,0.0,320,1.9
19,2026-03-22T19:00:00,27.91,72,1000.21,0.0,343,1.4
20,2026-03-22T20:00:00,27.49,77,1001.0,0.0,340,2.0
21,2026-03-22T21:00:00,27.09,80,1001.41,0.0,343,2.3
22,2026-03-22T22:00:00,26.55,80,1001.53,0.0,6,1.8
23,2026-03-22T23:00:00,26.18,82,1001.66,0.0,31,0.6
24,2026-03-23T00:00:00,25.89,84,1001.01,0.0,350,2.2
25,2026-03-23T01:00:00,25.58,84,1000.71,0.0,33,1.9
26,2026-03-23T02:00:00,25.24,87,999.86,0.0,27,0.9
27,2026-03-23T03:00:00,24.51,93,999.98,0.0,126,0.9
28,2026-03-23T04:00:00,24.02,96,1000.26,0.0,97,1.9
29,2026-03-23T05:00:00,23.9,95,1000.17,0.27,65,1.4
30,2026-03-23T06:00:00,23.73,97,1000.59,0.34,86,0.5
31,2026-03-23T07:00:00,24.83,95,1001.36,0.0,114,1.3
32,2026-03-23T08:00:00,26.86,81,1001.95,0.0,127,1.4
33,2026-03-23T09:00:00,29.55,63,1002.36,0.0,144,0.8
34,2026-03-23T10:00:00,32.4,48,1002.12,0.0,175,0.4
