,timestamp,temperature,relative_humidity,pressure,rainfall,wind_direction,wind_speed
0,2026-07-23T00:00:00,24.46,96,1003.36,0.01,232,1.1
1,2026-07-23T01:00:00,24.29,96,1002.79,0.04,132,0.7
2,2026-07-23T02:00:00,24.1,97,1001.94,0.04,100,1.6
3,2026-07-23T03:00:00,23.99,95,1001.67,0.02,88,0.9
4,2026-07-23T04:00:00,23.87,94,1001.77,0.02,108,0.9
5,2026-07-23T05:00:00,23.17,99,1001.86,0.02,5,0.4
6,2026-07-23T06:00:00,23.9,98,1002.12,0.0,50,1.1
7,2026-07-23T07:00:00,24.18,99,1002.56,0.01,103,0.6
8,2026-07-23T08:00:00,25.63,98,1003.09,0.01,302,0.7
9,2026-07-23T09:00:00,27.58,87,1003.54,0.01,342,2.4
10,2026-07-23T10:00:00,28.19,78,1003.83,0.0,335,2.3
11,2026-07-23T11:00:00,29.43,74,1003.28,0.1,310,2.9
12,2026-07-23T12:00:00,29.67,73,1002.63,0.38,310,3.4
13,2026-07-23T13:00:00,29.34,74,1002.07,0.44,311,3.4
14,2026-07-23T14:00:00,29.77,72,1001.72,0.0,301,3.7
15,2026-07-23T15:00:00,29.32,75,1000.86,0.26,296,3.5
16,2026-07-23T16:00:00,28.85,76,1001.11,0.53,311,3.3
17,2026-07-23T17:00:00,28.52,78,1000.99,0.0,307,3.0
18,2026-07-23T18:00:00,27.27,84,1001.61,0.0,300,2.4
19,2026-07-23T19:00:00,25.98,90,1002.49,0.0,303,2.3
20,2026-07-23T20:00:00,25.33,93,1003.26,0.0,341,1.3
21,2026-07-23T21:00:00,25.07,94,1003.65,0.0,12,1.0
22,2026-07-23T22:00:00,24.76,94,1003.96,0.0,358,0.9
23,2026-07-23T23:00:00,24.46,96,1003.93,0.58,331,2.0
24,2026-07-24T00:00:00,24.05,97,1003.29,0.81,339,2.9
25,2026-07-24T01:00:00,23.85,97,1002.34,0.0,343,1.2
26,2026-07-24T02:00:00,23.57,97,1001.6,0.0,304,0.8
27,2026-07-24T03:00:00,23.6,96,1001.26,0.0,288,0.3
28,2026-07-24T04:00:00,23.61,95,1001.26,0.0,132,0.1
29,2026-07-24T05:00:00,23.47,96,1001.65,0.0,359,0.6
30,2026-07-24T06:00:00,23.64,96,1002.24,0.0,9,0.5
31,2026-07-24T07:00:00,24.24,97,1002.63,0.0,272,0.5
32,2026-07-24T08:00:00,25.78,92,1003.05,0.0,274,0.8
33,2026-07-24T09:00:00,27.65,83,1003.27,0.0,291,2.2
34,2026-07-24T10:00:00,28.94,76,1003.2,0.0,301,3.0
35,2026-07-24T11:00:00,29.85,73,1002.71,0.0,298,2.9
36,2026-07-24T12:00:00,30.61,70,1001.88,0.0,300,2.9
37,2026-07-24T13:00:00,30.87,69,1001.17,0.0,300,3.6
38,2026-07-24T14:00:00,30.49,70,1000.08,0.0,296,4.3
39,2026-07-24T15:00:00,30.02,69,999.36,0.49,300,4.5
40,2026-07-24T16:00:00,29.79,69,999.22,0.0,303,4.3
41,2026-07-24T17:00:00,28.7,74,999.51,0.0,301,4.0
42,2026-07-24T18:00:00,27.33,82,1000.4,0.0,301,3.3
43,2026-07-24T19:00:00,26.14,88,1000.95,0.0,306,2.7
44,2026-07-24T20:00:00,25.64,90,1001.68,0.0,328,2.0
45,2026-07-24T21:00:00,24.99,93,1002.51,0.53,331,2.3
46,2026-07-24T22:00:00,24.81,94,1002.63,0.4,340,1.9
47,2026-07-24T23:00:00,24.32,96,1002.48,0.0,325,1.0
48,2026-07-25T00:00:00,24.31,95,1001.86,0.0,315,0.6
49,2026-07-25T01:00:00,23.83,97,1001.27,0.44,259,0.7
50,2026-07-25T02:00:00,23.91,96,1000.71,0.0,249,0.2
51,2026-07-25T03:00:00,23.61,97,1000.92,0.0,274,1.2
52,2026-07-25T04:00:00,23.12,99,1001.35,0.82,326,2.2
53,2026-07-25T05:00:00,23.12,99,1001.06,0.0,36,1.5
54,2026-07-25T06:00:00,23.1,99,1001.96,0.0,310,1.3
55,2026-07-25T07:00:00,24.05,97,1002.03,0.0,24,0.5
56,2026-07-25T08:00:00,25.5,93,1003.01,0.0,276,1.1
57,2026-07-25T09:00:00,27.05,86,1003.19,0.0,292,1.8
58,2026-07-25T10:00:00,28.65,79,1002.79,0.0,310,2.3
59,2026-07-25T11:00:00,29.61,74,1002.27,0.0,297,3.7
60,2026-07-25T12:00:00,27.56,81,1002.03,0.92,296,4.4
61,2026-07-25T13:00:00,28.35,82,1001.16,0.78,306,2.8
62,2026-07-25T14:00:00,29.7,74,1000.29,0.0,302,3.7
63,2026-07-25T15:00:00,28.47,78,999.98,0.4,310,3.2
64,2026-07-25T16:00:00,26.72,88,1000.12,2.32,300,3.3
65,2026-07-25T17:00:00,26.25,91,1000.46,0.99,359,1.5
66,2026-07-25T18:00:00,25.95,93,1000.98,0.0,1,1.0
67,2026-07-25T19:00:00,25.17,95,1001.79,0.37,351,1.4
68,2026-07-25T20:00:00,24.92,96,1002.34,0.0,9,1.0
69,2026-07-25T21:00:00,24.58,97,1003.16,0.29,3,1.3
70,2026-07-25T22:00:00,24.37,97,1003.64,0.26,339,1.7
71,2026-07-25T23:00:00,24.17,98,1003.53,0.0,327,2.1
72,2026-07-26T00:00:00,24.03,99,1003.09,0.0,326,2.2
