,timestamp,temperature,relative_humidity,pressure,rainfall,wind_direction,wind_speed
0,2026-06-13T00:00:00,23.05,94,957.03,0.02,133,0.0
1,2026-06-13T01:00:00,22.34,92,955.38,0.11,34,0.4
2,2026-06-13T02:00:00,22.75,93,955.16,0.04,38,0.0
3,2026-06-13T03:00:00,21.97,86,954.87,0.01,61,0.3
4,2026-06-13T04:00:00,21.65,86,954.8,0.05,76,0.4
5,2026-06-13T05:00:00,21.92,95,955.31,0.05,354,0.0
6,2026-06-13T06:00:00,21.51,94,956.01,0.01,340,0.2
7,2026-06-13T07:00:00,22.54,94,956.58,0.09,209,0.0
8,2026-06-13T08:00:00,23.48,98,957.14,0.23,202,0.0
9,2026-06-13T09:00:00,23.94,95,957.24,0.02,208,0.0
10,2026-06-13T10:00:00,23.28,90,957.23,0.83,267,1.7
11,2026-06-13T11:00:00,24.75,87,956.95,0.78,282,1.6
12,2026-06-13T12:00:00,23.16,97,956.5,1.89,271,2.6
13,2026-06-13T13:00:00,23.85,97,955.49,0.59,266,1.3
14,2026-06-13T14:00:00,25.29,87,954.46,0.0,257,2.2
15,2026-06-13T15:00:00,24.07,90,953.58,1.24,271,1.9
16,2026-06-13T16:00:00,22.35,97,954.13,3.36,290,1.5
17,2026-06-13T17:00:00,22.19,98,953.97,0.64,330,1.6
18,2026-06-13T18:00:00,22.14,98,954.48,0.76,300,1.2
19,2026-06-13T19:00:00,21.69,100,955.34,0.37,255,1.1
20,2026-06-13T20:00:00,21.62,99,956.04,0.0,356,0.7
21,2026-06-13T21:00:00,21.5,100,956.73,0.0,262,1.1
22,2026-06-13T22:00:00,21.65,99,956.68,0.46,22,0.7
23,2026-06-13T23:00:00,21.58,99,956.46,0.0,37,0.1
24,2026-06-14T00:00:00,21.48,100,956.27,0.0,270,1.4
25,2026-06-14T01:00:00,21.29,100,955.36,0.91,292,0.5
26,2026-06-14T02:00:00,21.33,99,954.77,0.0,329,0.4
27,2026-06-14T03:00:00,21.53,99,954.55,0.0,3,0.5
28,2026-06-14T04:00:00,21.57,99,954.51,0.0,350,0.8
29,2026-06-14T05:00:00,21.7,99,954.67,0.0,332,1.0
30,2026-06-14T06:00:00,21.91,99,955.1,0.0,323,1.8
31,2026-06-14T07:00:00,22.62,97,955.56,0.0,316,2.2
32,2026-06-14T08:00:00,23.44,95,955.88,0.0,300,2.6
33,2026-06-14T09:00:00,24.07,92,956.4,0.0,307,2.7
34,2026-06-14T10:00:00,25.17,86,956.38,0.0,301,3.1
35,2026-06-14T11:00:00,25.82,82,955.96,0.0,299,3.4
36,2026-06-14T12:00:00,24.69,87,955.44,0.95,299,3.5
37,2026-06-14T13:00:00,24.91,92,954.49,1.19,302,3.2
38,2026-06-14T14:00:00,24.62,88,953.79,1.13,300,3.6
39,2026-06-14T15:00:00,24.37,91,952.99,1.36,326,2.9
40,2026-06-14T16:00:00,23.77,92,952.86,1.04,299,3.1
41,2026-06-14T17:00:00,22.77,98,953.53,1.75,308,2.5
42,2026-06-14T18:00:00,22.4,98,953.87,0.82,346,2.4
43,2026-06-14T19:00:00,22.52,97,954.29,0.0,335,1.8
44,2026-06-14T20:00:00,22.4,97,955.06,0.0,331,1.8
45,2026-06-14T21:00:00,22.32,98,955.55,0.0,324,1.4
46,2026-06-14T22:00:00,22.41,98,955.55,0.0,323,1.8
47,2026-06-14T23:00:00,22.34,98,955.16,0.0,327,2.1
48,2026-06-15T00:00:00,22.42,98,954.43,0.0,332,2.1
49,2026-06-15T01:00:00,22.43,98,953.66,0.0,323,2.0
50,2026-06-15T02:00:00,22.51,98,952.99,0.0,328,2.0
51,2026-06-15T03:00:00,22.4,98,952.7,0.0,332,1.8
52,2026-06-15T04:00:00,22.16,99,952.89,0.0,314,1.8
53,2026-06-15T05:00:00,22.25,98,953.06,0.0,340,1.5
54,2026-06-15T06:00:00,22.31,98,953.54,0.0,318,1.5
55,2026-06-15T07:00:00,23.2,98,954.07,0.0,315,1.7
56,2026-06-15T08:00:00,24.12,94,954.57,0.0,304,2.4
57,2026-06-15T09:00:00,24.93,90,955.02,0.35,306,3.4
58,2026-06-15T10:00:00,26.55,82,954.92,0.31,306,4.0
59,2026-06-15T11:00:00,24.79,88,954.61,1.17,307,3.4
60,2026-06-15T12:00:00,26.06,88,954.07,0.5,302,2.8
61,2026-06-15T13:00:00,25.6,89,952.81,1.05,279,3.0
62,2026-06-15T14:00:00,22.78,100,953.06,12.19,344,2.5
63,2026-06-15T15:00:00,22.77,94,952.75,1.77,296,2.5
64,2026-06-15T16:00:00,22.87,98,952.88,1.63,309,1.6
65,2026-06-15T17:00:00,22.89,99,953.56,0.46,292,1.8
66,2026-06-15T18:00:00,22.7,100,953.66,0.82,316,1.7
67,2026-06-15T19:00:00,22.56,99,954.14,0.44,332,1.8
68,2026-06-15T20:00:00,22.71,98,954.59,0.0,336,2.0
69,2026-06-15T21:00:00,22.64,98,955.35,0.0,295,0.9
70,2026-06-15T22:00:00,22.83,98,954.99,0.0,340,1.9
71,2026-06-15T23:00:00,22.71,98,954.39,0.0,320,2.3
72,2026-06-16T00:00:00,22.51,99,953.85,0.0,319,1.5
73,2026-06-16T01:00:00,22.59,99,953.33,0.0,316,1.8
74,2026-06-16T02:00:00,22.5,99,952.84,0.0,314,1.6
75,2026-06-16T03:00:00,22.64,99,952.47,0.0,310,1.5
76,2026-06-16T04:00:00,22.7,99,952.52,0.0,300,1.5
77,2026-06-16T05:00:00,22.66,100,952.92,0.0,309,1.5
78,2026-06-16T06:00:00,22.77,99,953.33,0.0,310,1.4
79,2026-06-16T07:00:00,23.33,98,953.87,0.0,305,2.0
80,2026-06-16T08:00:00,24.07,95,954.27,0.0,300,2.4
81,2026-06-16T09:00:00,24.42,93,954.64,0.53,307,2.7
82,2026-06-16T10:00:00,25.85,89,954.56,0.35,300,3.1
83,2026-06-16T11:00:00,25.86,87,954.06,0.0,293,3.3
84,2026-06-16T12:00:00,26.15,82,953.39,0.0,289,3.7
85,2026-06-16T13:00:00,23.65,94,953.04,2.5,315,2.3
86,2026-06-16T14:00:00,25.61,90,952.1,0.56,303,2.4
87,2026-06-16T15:00:00,23.11,98,952.11,1.66,298,3.3
88,2026-06-16T16:00:00,23.04,98,952.5,1.39,352,1.7
89,2026-06-16T17:00:00,22.67,97,953.31,1.19,302,2.5
90,2026-06-16T18:00:00,22.57,98,953.9,1.19,305,2.1
91,2026-06-16T19:00:00,22.48,98,954.49,0.0,308,1.8
92,2026-06-16T20:00:00,22.38,99,955.08,0.0,311,1.4
93,2026-06-16T21:00:00,22.33,99,955.2,0.0,301,1.3
94,2026-06-16T22:00:00,22.28,99,955.32,0.0,292,1.1
95,2026-06-16T23:00:00,22.23,100,955.44,0.0,282,1.0
96,2026-06-17T00:00:00,22.21,100,954.88,0.0,270,0.9
97,2026-06-17T01:00:00,22.19,100,954.33,0.0,259,0.8
98,2026-06-17T02:00:00,22.17,100,953.77,0.0,247,0.7
99,2026-06-17T03:00:00,22.14,100,953.85,0.0,259,0.9
100,2026-06-17T04:00:00,22.11,100,953.92,0.0,272,1.1
101,2026-06-17T05:00:00,22.08,100,954.0,0.0,284,1.3
102,2026-06-17T06:00:00,22.38,99,954.31,0.0,291,1.6
103,2026-06-17T07:00:00,22.67,98,954.61,0.0,297,1.9
104,2026-06-17T08:00:00,22.97,97,954.92,0.0,304,2.2
105,2026-06-17T09:00:00,24.06,92,954.84,0.0,303,2.6
106,2026-06-17T10:00:00,25.16,87,954.76,0.39,302,3.0
107,2026-06-17T11:00:00,26.25,82,954.68,0.39,301,3.5
108,2026-06-17T12:00:00,26.06,85,953.99,0.39,298,3.4
109,2026-06-17T13:00:00,25.86,87,953.31,0.96,294,3.3
110,2026-06-17T14:00:00,25.67,89,952.62,0.96,291,3.2
111,2026-06-17T15:00:00,24.81,92,952.63,0.96,293,2.8
112,2026-06-17T16:00:00,23.95,95,952.63,0.94,296,2.5
113,2026-06-17T17:00:00,23.09,97,952.64,0.94,298,2.1
114,2026-06-17T18:00:00,22.87,98,953.3,0.94,310,1.7
115,2026-06-17T19:00:00,22.64,98,953.96,0.0,322,1.2
116,2026-06-17T20:00:00,22.42,98,954.62,0.0,333,0.8
117,2026-06-17T21:00:00,22.46,98,954.74,0.0,337,1.0
118,2026-06-17T22:00:00,22.49,98,954.86,0.0,340,1.2
119,2026-06-17T23:00:00,22.53,97,954.98,0.0,344,1.4
