,timestamp,temperature,relative_humidity,pressure,rainfall,wind_direction,wind_speed
0,2026-03-08T00:00:00,18.33,99,899.85,0,125,0.4
1,2026-03-08T01:00:00,18.15,97,899.22,0,104,0.6
2,2026-03-08T02:00:00,17.91,94,898.45,0,104,0.5
3,2026-03-08T03:00:00,17.93,89,897.97,0,114,0.5
4,2026-03-08T04:00:00,18.09,84,897.85,0,122,0.5
5,2026-03-08T05:00:00,16.8,97,898.26,0,113,0.8
6,2026-03-08T06:00:00,16.8,95,898.75,0,118,0.6
7,2026-03-08T07:00:00,18.82,87,899.58,0,105,0.9
8,2026-03-08T08:00:00,21.81,71,900.23,0,83,1.0
9,2026-03-08T09:00:00,23.57,60,900.93,0,87,1.6
10,2026-03-08T10:00:00,25.37,50,900.98,0,82,2.3
11,2026-03-08T11:00:00,26.79,42,900.27,0,77,3.3
12,2026-03-08T12:00:00,27.68,39,899.33,0,78,3.8
13,2026-03-08T13:00:00,28.6,37,898.26,0,72,3.4
14,2026-03-08T14:00:00,28.94,36,896.99,0,71,3.3
15,2026-03-08T15:00:00,28.86,35,896.23,0,78,2.7
16,2026-03-08T16:00:00,28.11,35,896.21,0,65,1.4
17,2026-03-08T17:00:00,25.99,46,896.93,0,244,0.3
18,2026-03-08T18:00:00,23.0,69,897.98,0,255,1.5
19,2026-03-08T19:00:00,21.28,86,898.99,0,239,1.0
20,2026-03-08T20:00:00,20.13,96,899.73,0,213,0.5
21,2026-03-08T21:00:00,19.44,99,900.48,0,149,1.1
22,2026-03-08T22:00:00,19.01,99,900.6,0,90,0.3
23,2026-03-08T23:00:00,18.6,100,900.31,0,55,0.1
24,2026-03-09T00:00:00,18.29,99,899.72,0,84,0.1
25,2026-03-09T01:00:00,18.06,99,899.16,0,35,0.3
26,2026-03-09T02:00:00,17.8,99,898.22,0,50,0.3
27,2026-03-09T03:00:00,17.52,99,897.83,0,110,0.3
28,2026-03-09T04:00:00,17.04,99,897.87,0,135,0.6
29,2026-03-09T05:00:00,16.75,94,898.4,0,133,0.6
30,2026-03-09T06:00:00,17.09,85,899.09,0,125,0.6
31,2026-03-09T07:00:00,19.28,77,899.86,0,112,1.1
32,2026-03-09T08:00:00,21.39,61,900.57,0,104,1.3
33,2026-03-09T09:00:00,23.13,54,901.13,0,93,1.6
34,2026-03-09T10:00:00,24.68,47,901.33,0,83,1.8
35,2026-03-09T11:00:00,26.1,42,900.85,0,79,2.2
36,2026-03-09T12:00:00,27.03,40,899.95,0,63,1.8
37,2026-03-09T13:00:00,27.6,40,898.65,0,8,1.5
38,2026-03-09T14:00:00,26.73,44,897.95,0,39,1.3
39,2026-03-09T15:00:00,26.99,42,897.12,0,35,1.4
40,2026-03-09T16:00:00,25.9,44,897.02,0,40,1.1
41,2026-03-09T17:00:00,24.26,57,897.77,0,277,0.6
42,2026-03-09T18:00:00,21.76,77,898.68,0,259,1.0
43,2026-03-09T19:00:00,20.85,87,899.32,0,190,1.0
44,2026-03-09T20:00:00,19.78,90,900.33,0,126,0.9
