,timestamp,temperature,relative_humidity,pressure,rainfall,wind_direction,wind_speed
0,2026-05-11T00:00:00,20.65,98,897.41,0.18,252,1.5
1,2026-05-11T01:00:00,20.5,100,897.02,0.0,230,1.5
2,2026-05-11T02:00:00,20.88,100,896.14,0.0,267,1.4
3,2026-05-11T03:00:00,20.76,99,895.98,0.05,300,1.6
4,2026-05-11T04:00:00,20.57,98,896.18,0.14,283,1.4
5,2026-05-11T05:00:00,20.04,98,896.53,0.01,271,1.7
6,2026-05-11T06:00:00,20.42,96,897.53,0.02,293,1.5
7,2026-05-11T07:00:00,22.43,87,898.54,0.0,294,1.3
8,2026-05-11T08:00:00,24.69,75,899.12,0.0,306,1.4
9,2026-05-11T09:00:00,27.34,58,899.08,0.0,321,1.4
10,2026-05-11T10:00:00,29.11,51,898.93,0.0,321,1.5
11,2026-05-11T11:00:00,30.83,39,898.28,0.0,46,2.7
12,2026-05-11T12:00:00,31.21,37,897.44,0.23,45,3.4
13,2026-05-11T13:00:00,31.92,34,896.25,0.42,33,3.6
14,2026-05-11T14:00:00,32.35,31,895.26,0.16,31,4.5
15,2026-05-11T15:00:00,31.85,30,895.08,0.03,24,4.3
16,2026-05-11T16:00:00,30.9,33,895.03,0.0,1,1.9
17,2026-05-11T17:00:00,28.53,44,895.32,0.0,266,2.7
18,2026-05-11T18:00:00,23.8,85,896.08,0.0,246,3.7
19,2026-05-11T19:00:00,22.57,93,897.21,0.0,236,2.2
20,2026-05-11T20:00:00,22.09,95,897.68,0.0,231,1.9
21,2026-05-11T21:00:00,21.61,98,897.91,0.0,270,1.8
22,2026-05-11T22:00:00,21.45,98,898.25,0.0,300,1.6
23,2026-05-11T23:00:00,21.33,98,898.17,0.0,292,1.4
24,2026-05-12T00:00:00,20.95,98,897.36,0.0,302,1.6
25,2026-05-12T01:00:00,20.6,98,896.4,0.0,307,1.5
26,2026-05-12T02:00:00,20.18,99,896.16,0.0,264,1.1
27,2026-05-12T03:00:00,19.85,99,895.75,0.0,276,1.4
28,2026-05-12T04:00:00,19.88,98,895.58,0.0,309,1.7
29,2026-05-12T05:00:00,19.87,99,895.91,0.0,329,2.4
30,2026-05-12T06:00:00,20.32,98,896.17,0.0,344,2.4
31,2026-05-12T07:00:00,21.52,92,896.96,0.0,351,1.9
32,2026-05-12T08:00:00,24.57,73,897.42,0.0,3,1.5
33,2026-05-12T09:00:00,27.89,52,897.61,0.0,32,1.3
34,2026-05-12T10:00:00,29.95,42,897.36,0.0,20,1.2
35,2026-05-12T11:00:00,31.3,37,896.98,0.0,19,2.7
36,2026-05-12T12:00:00,31.92,34,896.28,0.0,19,3.2
37,2026-05-12T13:00:00,32.81,30,895.32,0.0,32,3.8
38,2026-05-12T14:00:00,32.06,31,894.55,0.0,34,4.4
39,2026-05-12T15:00:00,31.96,36,893.97,0.0,27,3.0
40,2026-05-12T16:00:00,30.5,40,894.05,0.0,35,1.4
41,2026-05-12T17:00:00,27.18,56,894.43,0.0,247,2.8
42,2026-05-12T18:00:00,23.4,83,895.04,0.35,249,2.9
43,2026-05-12T19:00:00,23.03,84,895.66,0.0,237,2.3
44,2026-05-12T20:00:00,22.46,90,896.32,0.0,231,3.1
45,2026-05-12T21:00:00,22.15,96,896.78,0.0,250,2.0
46,2026-05-12T22:00:00,22.38,97,897.07,0.0,250,2.0
47,2026-05-12T23:00:00,22.58,98,896.67,0.0,256,2.3
48,2026-05-13T00:00:00,22.43,99,896.19,0.0,258,2.2
49,2026-05-13T01:00:00,22.12,99,895.71,0.0,259,2.2
50,2026-05-13T02:00:00,22.06,100,895.08,0.0,263,2.1
51,2026-05-13T03:00:00,21.95,98,894.77,0.0,264,2.1
52,2026-05-13T04:00:00,21.54,99,894.94,0.0,264,1.6
53,2026-05-13T05:00:00,21.67,97,895.07,0.0,270,1.4
54,2026-05-13T06:00:00,21.65,97,895.49,0.0,267,1.5
55,2026-05-13T07:00:00,22.57,89,896.28,0.0,273,1.8
56,2026-05-13T08:00:00,24.8,75,896.8,0.0,293,2.2
57,2026-05-13T09:00:00,26.95,64,897.18,0.0,290,2.0
58,2026-05-13T10:00:00,28.91,56,896.84,0.0,298,2.4
59,2026-05-13T11:00:00,30.38,50,896.15,0.0,308,2.5
60,2026-05-13T12:00:00,30.76,50,895.32,0.0,320,2.2
61,2026-05-13T13:00:00,31.68,45,894.4,0.0,310,1.3
62,2026-05-13T14:00:00,29.44,52,893.74,0.29,252,2.7
63,2026-05-13T15:00:00,27.56,63,893.48,0.28,258,3.4
64,2026-05-13T16:00:00,25.93,70,893.24,0.0,249,3.7
65,2026-05-13T17:00:00,24.2,84,894.22,0.75,293,1.8
66,2026-05-13T18:00:00,23.85,88,894.37,0.0,256,2.0
67,2026-05-13T19:00:00,22.91,94,895.13,0.0,246,2.1
68,2026-05-13T20:00:00,22.23,97,895.47,0.0,248,2.4
69,2026-05-13T21:00:00,21.86,98,895.87,0.0,262,2.2
70,2026-05-13T22:00:00,21.71,99,896.37,0.0,257,1.9
71,2026-05-13T23:00:00,21.61,100,896.25,0.0,240,1.8
72,2026-05-14T00:00:00,21.62,100,895.81,0.0,246,1.7
73,2026-05-14T01:00:00,21.56,100,895.03,0.0,266,1.9
74,2026-05-14T02:00:00,21.46,100,894.49,0.0,275,2.1
75,2026-05-14T03:00:00,21.36,99,894.45,0.0,290,2.4
76,2026-05-14T04:00:00,21.23,99,894.37,0.0,302,2.2
77,2026-05-14T05:00:00,21.04,98,894.64,0.0,292,2.0
78,2026-05-14T06:00:00,21.0,98,895.36,0.0,280,1.9
79,2026-05-14T07:00:00,21.95,92,895.93,0.0,303,2.7
80,2026-05-14T08:00:00,24.25,80,896.51,0.0,311,2.3
81,2026-05-14T09:00:00,26.89,68,897.09,0.0,291,2.0
82,2026-05-14T10:00:00,28.96,58,896.99,0.0,283,2.1
83,2026-05-14T11:00:00,30.35,52,896.43,0.0,282,2.3
84,2026-05-14T12:00:00,31.18,49,895.39,0.0,285,2.2
85,2026-05-14T13:00:00,29.94,53,894.61,0.0,266,2.5
86,2026-05-14T14:00:00,27.78,66,893.94,0.52,260,3.7
87,2026-05-14T15:00:00,26.53,70,893.6,0.55,269,4.0
88,2026-05-14T16:00:00,26.67,70,893.32,0.0,264,3.6
89,2026-05-14T17:00:00,23.52,91,894.53,2.76,225,1.8
90,2026-05-14T18:00:00,22.33,94,895.38,0.76,337,1.5
91,2026-05-14T19:00:00,21.71,97,895.72,0.0,168,2.5
92,2026-05-14T20:00:00,21.43,98,896.4,1.97,312,1.5
93,2026-05-14T21:00:00,20.68,99,897.35,6.63,191,3.0
94,2026-05-14T22:00:00,20.57,98,897.09,0.72,317,2.2
95,2026-05-14T23:00:00,20.29,99,897.08,0.0,272,1.6
96,2026-05-15T00:00:00,20.28,99,896.26,0.0,276,1.8
97,2026-05-15T01:00:00,20.27,99,895.43,0.0,280,1.9
98,2026-05-15T02:00:00,20.26,99,894.61,0.0,284,2.0
99,2026-05-15T03:00:00,20.38,99,894.79,0.0,289,2.2
100,2026-05-15T04:00:00,20.51,99,894.96,0.0,293,2.4
101,2026-05-15T05:00:00,20.63,99,895.14,0.0,298,2.6
102,2026-05-15T06:00:00,21.55,95,895.47,0.0,303,2.9
103,2026-05-15T07:00:00,22.48,91,895.81,0.0,309,3.1
104,2026-05-15T08:00:00,23.4,86,896.14,0.0,314,3.3
105,2026-05-15T09:00:00,25.25,77,896.39,0.0,310,3.2
106,2026-05-15T10:00:00,27.1,69,896.64,0.0,306,3.0
107,2026-05-15T11:00:00,28.95,60,896.89,0.0,302,2.9
108,2026-05-15T12:00:00,26.6,71,896.58,0.0,307,2.6
109,2026-05-15T13:00:00,24.26,83,896.27,7.35,311,2.2
110,2026-05-15T14:00:00,21.91,95,895.96,7.35,316,1.9
111,2026-05-15T15:00:00,22.54,92,895.46,7.35,307,1.7
112,2026-05-15T16:00:00,23.17,89,894.97,0.85,297,1.6
113,2026-05-15T17:00:00,23.8,87,894.47,0.85,288,1.4
114,2026-05-15T18:00:00,23.2,91,895.22,0.85,307,1.5
115,2026-05-15T19:00:00,22.6,94,895.96,0.3,326,1.5
116,2026-05-15T20:00:00,22.0,98,896.71,0.3,345,1.6
117,2026-05-15T21:00:00,21.76,99,896.81,0.3,330,1.3
118,2026-05-15T22:00:00,21.52,99,896.9,0.0,314,1.0
119,2026-05-15T23:00:00,21.28,99,897.0,0.0,299,0.7
