,timestamp,temperature,relative_humidity,pressure,rainfall,wind_direction,wind_speed
0,2026-09-24T00:00:00,19.15,95,898.35,0.01,259,3.1
1,2026-09-24T01:00:00,19.37,95,897.48,0.02,260,3.5
2,2026-09-24T02:00:00,19.4,95,896.96,0.02,258,2.5
3,2026-09-24T03:00:00,19.66,95,896.96,0.03,257,3.7
4,2026-09-24T04:00:00,19.62,95,897.14,0.0,258,3.4
5,2026-09-24T05:00:00,19.35,97,896.67,0.0,266,2.6
6,2026-09-24T06:00:00,19.62,95,897.66,0.02,249,2.9
7,2026-09-24T07:00:00,20.14,95,898.16,0.08,247,3.1
8,2026-09-24T08:00:00,20.54,96,899.27,0.11,241,2.5
9,2026-09-24T09:00:00,20.55,91,899.79,0.13,250,5.0
10,2026-09-24T10:00:00,22.03,84,899.82,0.18,246,5.7
11,2026-09-24T11:00:00,22.1,83,899.07,0.34,241,6.0
12,2026-09-24T12:00:00,22.96,79,898.16,0.42,242,5.7
13,2026-09-24T13:00:00,22.9,82,897.11,0.69,245,5.6
14,2026-09-24T14:00:00,21.62,89,896.67,1.12,247,5.7
15,2026-09-24T15:00:00,21.65,91,895.81,0.58,241,5.3
16,2026-09-24T16:00:00,20.79,96,896.1,1.38,249,5.1
17,2026-09-24T17:00:00,20.38,97,896.07,0.0,250,4.5
18,2026-09-24T18:00:00,19.87,99,896.74,0.0,250,3.6
19,2026-09-24T19:00:00,19.83,99,897.67,0.0,254,3.0
20,2026-09-24T20:00:00,19.86,99,898.44,0.0,258,2.9
21,2026-09-24T21:00:00,19.89,99,898.8,0.0,255,3.1
22,2026-09-24T22:00:00,19.9,99,898.98,0.0,258,3.3
23,2026-09-24T23:00:00,19.92,99,898.63,0.0,251,3.3
24,2026-09-25T00:00:00,19.91,99,898.03,0.0,255,2.9
25,2026-09-25T01:00:00,19.85,99,897.38,0.0,252,2.5
26,2026-09-25T02:00:00,19.84,99,896.92,0.0,257,2.6
27,2026-09-25T03:00:00,19.76,98,896.61,0.0,253,2.8
28,2026-09-25T04:00:00,19.36,99,896.49,0.0,260,2.3
29,2026-09-25T05:00:00,19.34,99,896.97,0.0,253,2.1
30,2026-09-25T06:00:00,19.34,99,897.67,0.0,258,1.9
31,2026-09-25T07:00:00,19.7,97,898.4,0.0,248,1.9
32,2026-09-25T08:00:00,20.07,95,899.03,0.0,244,2.3
33,2026-09-25T09:00:00,21.16,90,899.4,0.0,243,3.3
34,2026-09-25T10:00:00,21.68,88,899.6,0.31,244,3.2
35,2026-09-25T11:00:00,22.3,89,899.33,1.05,249,3.4
36,2026-09-25T12:00:00,22.95,85,898.58,0.34,258,4.3
37,2026-09-25T13:00:00,22.45,89,897.77,1.36,250,4.3
38,2026-09-25T14:00:00,21.38,93,897.28,2.66,256,4.8
39,2026-09-25T15:00:00,21.4,94,896.91,0.89,252,4.4
40,2026-09-25T16:00:00,21.57,90,896.61,0.0,248,4.5
41,2026-09-25T17:00:00,20.76,94,897.11,0.0,253,3.8
42,2026-09-25T18:00:00,19.92,98,897.53,0.0,251,2.7
43,2026-09-25T19:00:00,19.74,98,898.52,0.0,252,2.5
44,2026-09-25T20:00:00,19.69,98,899.05,0.0,244,2.5
45,2026-09-25T21:00:00,19.76,98,899.36,0.0,259,3.2
46,2026-09-25T22:00:00,19.76,98,899.69,0.0,266,2.5
47,2026-09-25T23:00:00,19.63,98,899.38,0.0,252,2.6
48,2026-09-26T00:00:00,19.52,97,898.86,0.0,254,2.8
49,2026-09-26T01:00:00,19.26,98,898.34,0.0,245,3.2
50,2026-09-26T02:00:00,19.08,98,898.19,0.0,252,3.1
51,2026-09-26T03:00:00,19.08,97,898.27,0.0,252,3.1
52,2026-09-26T04:00:00,18.74,97,898.6,0.0,253,3.5
53,2026-09-26T05:00:00,18.56,97,898.88,0.29,245,3.8
54,2026-09-26T06:00:00,18.26,97,899.65,0.0,242,3.9
55,2026-09-26T07:00:00,18.53,95,900.34,0.0,245,3.4
56,2026-09-26T08:00:00,20.02,89,900.71,0.0,250,3.3
57,2026-09-26T09:00:00,21.39,80,901.22,0.0,250,3.4
58,2026-09-26T10:00:00,23.21,66,901.07,0.0,249,3.8
59,2026-09-26T11:00:00,23.82,63,900.67,0.0,249,4.3
60,2026-09-26T12:00:00,24.49,58,899.87,0.0,253,4.1
61,2026-09-26T13:00:00,24.44,59,898.87,0.0,245,4.7
62,2026-09-26T14:00:00,24.03,62,898.14,0.0,246,4.4
63,2026-09-26T15:00:00,23.37,64,897.66,0.0,248,4.2
64,2026-09-26T16:00:00,22.85,66,897.77,0.0,248,4.1
65,2026-09-26T17:00:00,21.56,76,898.37,0.0,251,3.7
66,2026-09-26T18:00:00,19.62,88,898.81,0.0,242,2.7
67,2026-09-26T19:00:00,18.64,96,899.79,0.0,247,2.5
68,2026-09-26T20:00:00,18.15,99,900.34,0.0,251,2.0
69,2026-09-26T21:00:00,18.34,99,900.84,0.0,253,2.0
70,2026-09-26T22:00:00,18.42,97,900.88,0.0,254,1.8
71,2026-09-26T23:00:00,18.12,97,900.53,0.0,254,1.4
72,2026-09-27T00:00:00,17.63,98,900.17,0.0,253,1.5
73,2026-09-27T01:00:00,17.33,96,899.66,0.0,264,1.3
74,2026-09-27T02:00:00,16.46,100,898.97,0.0,262,1.5
75,2026-09-27T03:00:00,15.94,100,898.88,0.0,276,1.5
76,2026-09-27T04:00:00,15.35,100,898.72,0.0,317,1.1
77,2026-09-27T05:00:00,14.86,100,899.1,0.0,321,1.1
78,2026-09-27T06:00:00,14.47,100,899.62,0.0,327,0.9
79,2026-09-27T07:00:00,16.45,92,900.13,0.0,297,0.9
80,2026-09-27T08:00:00,21.03,75,900.84,0.0,267,1.4
81,2026-09-27T09:00:00,23.22,68,901.27,0.0,268,1.7
82,2026-09-27T10:00:00,24.87,63,901.03,0.0,268,1.6
83,2026-09-27T11:00:00,26.01,60,900.37,0.0,261,1.8
84,2026-09-27T12:00:00,26.48,57,899.5,0.0,253,2.0
85,2026-09-27T13:00:00,26.66,56,898.67,0.0,254,2.2
86,2026-09-27T14:00:00,26.12,60,897.99,0.37,262,2.8
87,2026-09-27T15:00:00,25.0,68,897.71,0.27,261,2.8
88,2026-09-27T16:00:00,24.16,76,898.0,0.5,251,2.8
89,2026-09-27T17:00:00,22.91,83,898.46,0.0,245,2.8
90,2026-09-27T18:00:00,21.99,88,899.04,0.0,248,2.2
91,2026-09-27T19:00:00,21.07,93,899.62,0.0,251,1.6
92,2026-09-27T20:00:00,20.15,99,900.2,0.0,254,1.0
93,2026-09-27T21:00:00,20.07,99,900.07,0.0,268,1.0
94,2026-09-27T22:00:00,19.99,99,899.95,0.0,281,1.1
95,2026-09-27T23:00:00,19.91,99,899.82,0.0,295,1.1
96,2026-09-28T00:00:00,19.58,99,899.2,0.0,291,1.2
97,2026-09-28T01:00:00,19.26,99,898.57,0.0,287,1.2
98,2026-09-28T02:00:00,18.93,99,897.95,0.0,283,1.2
99,2026-09-28T03:00:00,18.66,99,898.01,0.0,289,1.2
100,2026-09-28T04:00:00,18.39,99,898.06,0.0,296,1.3
101,2026-09-28T05:00:00,18.12,98,898.12,0.0,302,1.3
102,2026-09-28T06:00:00,19.54,93,898.79,0.0,319,1.1
103,2026-09-28T07:00:00,20.97,87,899.45,0.0,336,0.8
104,2026-09-28T08:00:00,22.39,81,900.12,0.0,352,0.6
105,2026-09-28T09:00:00,23.89,73,899.94,0.0,292,0.8
106,2026-09-28T10:00:00,25.38,65,899.75,0.0,231,1.0
107,2026-09-28T11:00:00,26.88,57,899.57,0.0,170,1.3
108,2026-09-28T12:00:00,26.18,63,898.95,0.0,199,1.6
109,2026-09-28T13:00:00,25.49,69,898.32,0.4,228,1.9
110,2026-09-28T14:00:00,24.79,75,897.7,0.4,257,2.2
111,2026-09-28T15:00:00,23.7,80,897.82,0.4,258,2.4
112,2026-09-28T16:00:00,22.61,85,897.93,0.55,260,2.6
113,2026-09-28T17:00:00,21.52,90,898.05,0.55,261,2.7
114,2026-09-28T18:00:00,20.96,93,898.86,0.55,267,1.9
115,2026-09-28T19:00:00,20.39,96,899.66,0.0,273,1.1
116,2026-09-28T20:00:00,19.83,99,900.47,0.0,278,0.3
117,2026-09-28T21:00:00,19.72,99,900.54,0.0,261,0.3
118,2026-09-28T22:00:00,19.6,100,900.6,0.0,244,0.2
119,2026-09-28T23:00:00,19.49,100,900.67,0.0,226,0.2
